,event,sys_clock,logical_clock,code,queue_length,msg,process
0,SENT to 3056,1,1,0,0,,1
1,INTERNAL EVENT,2,2,3,0,,1
2,RECEIVE MESSAGE,3,3,-1,0,2.0,1
3,SENT to 4056,4,4,1,0,,1
4,RECEIVE MESSAGE,5,5,-1,0,4.0,1
5,RECEIVE MESSAGE,6,6,-1,0,5.0,1
6,INTERNAL EVENT,7,7,3,0,,1
7,RECEIVE MESSAGE,8,8,-1,0,7.0,1
8,RECEIVE MESSAGE,9,9,-1,0,8.0,1
9,SENT to 3056,10,10,0,0,,1
10,RECEIVE MESSAGE,11,11,-1,0,10.0,1
11,SENT to 4056,12,12,2,0,,1
12,SENT to 3056,12,12,2,0,,1
13,RECEIVE MESSAGE,13,13,-1,0,12.0,1
14,SENT to 3056,14,14,0,0,,1
15,SENT to 3056,15,15,0,0,,1
16,RECEIVE MESSAGE,16,16,-1,0,15.0,1
17,SENT to 3056,17,17,0,0,,1
18,RECEIVE MESSAGE,18,18,-1,0,17.0,1
19,SENT to 4056,19,19,1,0,,1
20,SENT to 4056,20,20,1,0,,1
21,SENT to 4056,21,21,2,0,,1
22,SENT to 3056,21,21,2,0,,1
23,SENT to 3056,22,22,0,0,,1
24,SENT to 4056,23,23,2,0,,1
25,SENT to 3056,23,23,2,0,,1
26,SENT to 3056,24,24,0,0,,1
27,SENT to 4056,25,25,1,0,,1
28,RECEIVE MESSAGE,26,26,-1,0,25.0,1
29,SENT to 3056,27,27,2,0,,1
30,SENT to 4056,27,27,2,0,,1
31,SENT to 3056,28,28,2,0,,1
32,SENT to 4056,28,28,2,0,,1
33,SENT to 3056,29,29,0,0,,1
34,SENT to 4056,30,30,1,0,,1
35,SENT to 3056,31,31,2,0,,1
36,SENT to 4056,31,31,2,0,,1
37,INTERNAL EVENT,32,32,3,0,,1
38,SENT to 4056,33,33,1,1,,1
39,RECEIVE MESSAGE,34,34,-1,0,33.0,1
40,INTERNAL EVENT,35,35,3,0,,1
41,RECEIVE MESSAGE,36,36,-1,0,35.0,1
42,RECEIVE MESSAGE,37,37,-1,0,36.0,1
43,RECEIVE MESSAGE,38,38,-1,0,37.0,1
44,RECEIVE MESSAGE,39,39,-1,0,38.0,1
45,RECEIVE MESSAGE,40,40,-1,0,39.0,1
46,RECEIVE MESSAGE,41,41,-1,0,40.0,1
47,RECEIVE MESSAGE,42,42,-1,0,41.0,1
48,RECEIVE MESSAGE,43,43,-1,1,42.0,1
49,RECEIVE MESSAGE,44,44,-1,0,42.0,1
50,INTERNAL EVENT,45,45,3,0,,1
51,RECEIVE MESSAGE,46,46,-1,0,45.0,1
52,INTERNAL EVENT,47,47,3,0,,1
53,RECEIVE MESSAGE,48,48,-1,1,47.0,1
54,RECEIVE MESSAGE,49,49,-1,0,47.0,1
55,RECEIVE MESSAGE,50,50,-1,0,49.0,1
56,RECEIVE MESSAGE,51,51,-1,0,50.0,1
57,RECEIVE MESSAGE,52,52,-1,1,51.0,1
58,RECEIVE MESSAGE,53,53,-1,0,51.0,1
59,INTERNAL EVENT,54,54,3,0,,1
60,SENT to 3056,55,55,0,0,,1
61,RECEIVE MESSAGE,56,56,-1,0,55.0,1
62,SENT to 4056,57,57,2,0,,1
63,SENT to 3056,57,57,2,0,,1
64,INTERNAL EVENT,58,58,3,0,,1
65,INTERNAL EVENT,59,59,3,0,,1
66,RECEIVE MESSAGE,60,60,-1,0,59.0,1
67,RECEIVE MESSAGE,61,61,-1,0,60.0,1
68,RECEIVE MESSAGE,62,62,-1,1,61.0,1
69,RECEIVE MESSAGE,63,63,-1,1,61.0,1
70,RECEIVE MESSAGE,64,64,-1,0,62.0,1
71,RECEIVE MESSAGE,65,65,-1,0,64.0,1
72,RECEIVE MESSAGE,66,66,-1,0,65.0,1
73,SENT to 3056,67,67,0,0,,1
74,RECEIVE MESSAGE,68,68,-1,0,67.0,1
75,RECEIVE MESSAGE,69,69,-1,0,68.0,1
76,SENT to 3056,70,70,0,0,,1
77,RECEIVE MESSAGE,71,71,-1,0,70.0,1
78,RECEIVE MESSAGE,72,72,-1,0,71.0,1
79,RECEIVE MESSAGE,73,73,-1,0,72.0,1
80,INTERNAL EVENT,74,74,3,0,,1
81,RECEIVE MESSAGE,75,75,-1,0,74.0,1
82,RECEIVE MESSAGE,76,76,-1,0,75.0,1
83,SENT to 4056,77,77,1,0,,1
84,INTERNAL EVENT,78,78,3,0,,1
85,INTERNAL EVENT,79,79,3,0,,1
86,RECEIVE MESSAGE,80,80,-1,0,79.0,1
87,RECEIVE MESSAGE,81,81,-1,1,80.0,1
88,RECEIVE MESSAGE,82,82,-1,0,80.0,1
89,SENT to 4056,83,83,1,0,,1
90,RECEIVE MESSAGE,84,84,-1,0,83.0,1
91,SENT to 4056,85,85,1,0,,1
92,SENT to 3056,86,86,2,0,,1
93,SENT to 4056,86,86,2,0,,1
94,SENT to 4056,87,87,1,0,,1
95,SENT to 3056,88,88,0,0,,1
96,RECEIVE MESSAGE,89,89,-1,0,88.0,1
97,SENT to 3056,90,90,2,0,,1
98,SENT to 4056,90,90,2,0,,1
99,RECEIVE MESSAGE,91,91,-1,0,90.0,1
100,SENT to 4056,92,92,1,0,,1
101,RECEIVE MESSAGE,93,93,-1,0,92.0,1
102,SENT to 3056,94,94,2,0,,1
103,SENT to 4056,94,94,2,0,,1
104,RECEIVE MESSAGE,95,95,-1,0,94.0,1
105,SENT to 3056,96,96,2,0,,1
106,SENT to 4056,96,96,2,0,,1
107,RECEIVE MESSAGE,97,97,-1,0,96.0,1
108,INTERNAL EVENT,98,98,3,0,,1
109,RECEIVE MESSAGE,99,99,-1,0,98.0,1
110,INTERNAL EVENT,100,100,3,0,,1
111,RECEIVE MESSAGE,101,101,-1,0,100.0,1
112,RECEIVE MESSAGE,102,102,-1,0,101.0,1
113,RECEIVE MESSAGE,103,103,-1,0,102.0,1
114,RECEIVE MESSAGE,104,104,-1,0,103.0,1
115,SENT to 3056,105,105,2,0,,1
116,SENT to 4056,105,105,2,0,,1
117,INTERNAL EVENT,106,106,3,0,,1
118,SENT to 4056,107,107,1,0,,1
119,SENT to 3056,108,108,0,0,,1
120,SENT to 4056,109,109,1,0,,1
121,SENT to 4056,110,110,2,1,,1
122,SENT to 3056,110,110,2,1,,1
123,RECEIVE MESSAGE,111,111,-1,0,110.0,1
124,SENT to 3056,112,112,0,1,,1
125,RECEIVE MESSAGE,113,113,-1,0,112.0,1
126,SENT to 4056,114,114,1,1,,1
