,event,sys_clock,logical_clock,code,queue_length,msg,process
0,INTERNAL EVENT,1,1,3,0,,1
1,SENT to 2056,2,2,0,0,,1
2,SENT to 3056,3,3,1,0,,1
3,SENT to 2056,4,4,0,0,,1
4,INTERNAL EVENT,5,5,3,0,,1
5,SENT to 2056,6,6,0,0,,1
6,SENT to 2056,7,7,0,0,,1
7,INTERNAL EVENT,8,8,3,0,,1
8,SENT to 3056,9,9,1,0,,1
9,INTERNAL EVENT,10,10,3,0,,1
10,SENT to 3056,11,11,1,0,,1
11,INTERNAL EVENT,12,12,3,0,,1
12,SENT to 3056,13,13,1,0,,1
13,INTERNAL EVENT,14,14,3,0,,1
14,INTERNAL EVENT,15,15,3,0,,1
15,INTERNAL EVENT,16,16,3,0,,1
16,SENT to 3056,17,17,1,0,,1
17,SENT to 2056,18,18,0,0,,1
18,SENT to 2056,19,19,2,0,,1
19,SENT to 3056,19,19,2,0,,1
20,SENT to 2056,20,20,0,0,,1
21,SENT to 3056,21,21,1,0,,1
22,SENT to 2056,22,22,2,0,,1
23,SENT to 3056,22,22,2,0,,1
24,INTERNAL EVENT,23,23,3,0,,1
25,SENT to 2056,24,24,2,0,,1
26,SENT to 3056,24,24,2,0,,1
27,SENT to 2056,25,25,0,0,,1
28,SENT to 2056,26,26,0,0,,1
29,SENT to 3056,27,27,1,0,,1
30,SENT to 2056,28,28,0,0,,1
31,SENT to 3056,29,29,1,0,,1
32,SENT to 2056,30,30,0,0,,1
33,SENT to 2056,31,31,0,0,,1
34,SENT to 2056,32,32,2,0,,1
35,SENT to 3056,32,32,2,0,,1
36,SENT to 2056,33,33,0,0,,1
37,SENT to 2056,34,34,2,0,,1
38,SENT to 3056,34,34,2,0,,1
39,INTERNAL EVENT,35,35,3,0,,1
40,SENT to 3056,36,36,1,0,,1
41,SENT to 2056,37,37,2,0,,1
42,SENT to 3056,37,37,2,0,,1
43,SENT to 2056,38,38,0,0,,1
44,SENT to 3056,39,39,1,0,,1
45,SENT to 2056,40,40,0,0,,1
46,INTERNAL EVENT,41,41,3,0,,1
47,INTERNAL EVENT,42,42,3,0,,1
48,SENT to 3056,43,43,1,0,,1
49,SENT to 2056,44,44,2,0,,1
50,SENT to 3056,44,44,2,0,,1
51,SENT to 3056,45,45,1,0,,1
52,SENT to 2056,46,46,2,0,,1
53,SENT to 3056,46,46,2,0,,1
54,SENT to 2056,47,47,2,0,,1
55,SENT to 3056,47,47,2,0,,1
56,INTERNAL EVENT,48,48,3,0,,1
57,SENT to 3056,49,49,1,0,,1
58,SENT to 3056,50,50,1,0,,1
59,SENT to 2056,51,51,0,0,,1
60,SENT to 3056,52,52,1,0,,1
61,SENT to 3056,53,53,1,0,,1
62,INTERNAL EVENT,54,54,3,0,,1
63,SENT to 3056,55,55,1,0,,1
64,SENT to 3056,56,56,2,0,,1
65,SENT to 2056,56,56,2,0,,1
66,INTERNAL EVENT,57,57,3,0,,1
67,SENT to 3056,58,58,1,0,,1
68,INTERNAL EVENT,59,59,3,0,,1
69,INTERNAL EVENT,60,60,3,0,,1
70,SENT to 3056,61,61,1,0,,1
71,SENT to 3056,62,62,2,0,,1
72,SENT to 2056,62,62,2,0,,1
73,SENT to 2056,63,63,0,0,,1
74,SENT to 3056,64,64,2,0,,1
75,SENT to 2056,64,64,2,0,,1
76,SENT to 3056,65,65,1,0,,1
77,SENT to 3056,66,66,1,0,,1
78,SENT to 3056,67,67,2,0,,1
79,SENT to 2056,67,67,2,0,,1
80,INTERNAL EVENT,68,68,3,0,,1
81,SENT to 2056,69,69,0,0,,1
82,SENT to 2056,70,70,0,0,,1
83,INTERNAL EVENT,71,71,3,0,,1
84,INTERNAL EVENT,72,72,3,0,,1
85,SENT to 3056,73,73,2,0,,1
86,SENT to 2056,73,73,2,0,,1
87,SENT to 3056,74,74,1,0,,1
88,SENT to 3056,75,75,1,0,,1
89,INTERNAL EVENT,76,76,3,0,,1
