,event,sys_clock,logical_clock,code,queue_length,msg,process
0,SENT to 2056,1,1,0,0,,2
1,SENT to 4056,2,2,2,0,,2
2,SENT to 2056,2,2,2,0,,2
3,INTERNAL EVENT,3,3,3,0,,2
4,SENT to 4056,4,4,2,0,,2
5,SENT to 2056,4,4,2,0,,2
6,RECEIVE MESSAGE,5,5,-1,0,4.0,2
7,INTERNAL EVENT,6,6,3,0,,2
8,RECEIVE MESSAGE,7,7,-1,0,6.0,2
9,SENT to 2056,8,8,0,0,,2
10,RECEIVE MESSAGE,9,9,-1,0,8.0,2
11,SENT to 4056,10,10,2,0,,2
12,SENT to 2056,10,10,2,0,,2
13,SENT to 2056,11,11,2,0,,2
14,SENT to 4056,11,11,2,0,,2
15,SENT to 2056,12,12,0,0,,2
16,SENT to 4056,13,13,1,0,,2
17,SENT to 2056,14,14,0,0,,2
18,INTERNAL EVENT,15,15,3,0,,2
19,INTERNAL EVENT,16,16,3,0,,2
20,RECEIVE MESSAGE,17,17,-1,0,16.0,2
21,RECEIVE MESSAGE,18,18,-1,0,17.0,2
22,RECEIVE MESSAGE,19,19,-1,0,18.0,2
23,RECEIVE MESSAGE,20,20,-1,0,19.0,2
24,RECEIVE MESSAGE,21,21,-1,0,20.0,2
25,RECEIVE MESSAGE,22,22,-1,0,21.0,2
26,SENT to 4056,23,23,2,0,,2
27,SENT to 2056,23,23,2,0,,2
28,SENT to 4056,24,24,2,0,,2
29,SENT to 2056,24,24,2,0,,2
30,INTERNAL EVENT,25,25,3,0,,2
31,INTERNAL EVENT,26,26,3,0,,2
32,SENT to 4056,27,27,1,0,,2
33,RECEIVE MESSAGE,28,28,-1,0,27.0,2
34,SENT to 4056,29,29,2,0,,2
35,SENT to 2056,29,29,2,0,,2
36,RECEIVE MESSAGE,30,30,-1,0,29.0,2
37,SENT to 2056,31,31,2,0,,2
38,SENT to 4056,31,31,2,0,,2
39,RECEIVE MESSAGE,32,32,-1,0,31.0,2
40,SENT to 2056,33,33,2,0,,2
41,SENT to 4056,33,33,2,0,,2
42,SENT to 2056,34,34,2,1,,2
43,SENT to 4056,34,34,2,1,,2
44,RECEIVE MESSAGE,35,35,-1,0,33.0,2
45,SENT to 2056,36,36,2,0,,2
46,SENT to 4056,36,36,2,0,,2
47,SENT to 4056,37,37,1,1,,2
48,RECEIVE MESSAGE,38,38,-1,0,36.0,2
49,SENT to 2056,39,39,0,1,,2
50,RECEIVE MESSAGE,40,40,-1,0,38.0,2
51,SENT to 2056,41,41,0,0,,2
52,SENT to 2056,42,42,0,0,,2
53,INTERNAL EVENT,43,43,3,0,,2
54,INTERNAL EVENT,44,44,3,0,,2
55,SENT to 2056,45,45,2,1,,2
56,SENT to 4056,45,45,2,1,,2
57,RECEIVE MESSAGE,46,46,-1,0,44.0,2
58,INTERNAL EVENT,47,47,3,0,,2
59,SENT to 2056,48,48,2,0,,2
60,SENT to 4056,48,48,2,0,,2
61,SENT to 2056,49,49,2,0,,2
62,SENT to 4056,49,49,2,0,,2
63,SENT to 2056,50,50,0,0,,2
64,SENT to 2056,51,51,2,0,,2
65,SENT to 4056,51,51,2,0,,2
66,INTERNAL EVENT,52,52,3,0,,2
67,SENT to 2056,53,53,2,0,,2
68,SENT to 4056,53,53,2,0,,2
69,INTERNAL EVENT,54,54,3,0,,2
70,INTERNAL EVENT,55,55,3,0,,2
71,SENT to 4056,56,56,1,0,,2
72,INTERNAL EVENT,57,57,3,0,,2
73,RECEIVE MESSAGE,58,58,-1,0,56.0,2
74,SENT to 2056,59,59,0,0,,2
75,RECEIVE MESSAGE,60,60,-1,0,58.0,2
76,SENT to 4056,61,61,1,0,,2
77,INTERNAL EVENT,62,62,3,0,,2
78,RECEIVE MESSAGE,63,63,-1,0,61.0,2
79,INTERNAL EVENT,64,64,3,0,,2
80,SENT to 2056,65,65,2,1,,2
81,SENT to 4056,65,65,2,1,,2
82,RECEIVE MESSAGE,66,66,-1,0,64.0,2
83,SENT to 4056,67,67,2,0,,2
84,SENT to 2056,67,67,2,0,,2
85,SENT to 2056,68,68,2,1,,2
86,SENT to 4056,68,68,2,1,,2
87,RECEIVE MESSAGE,69,69,-1,0,67.0,2
88,SENT to 4056,70,70,1,0,,2
89,SENT to 4056,71,71,1,1,,2
90,RECEIVE MESSAGE,72,72,-1,0,70.0,2
91,SENT to 4056,73,73,1,1,,2
92,RECEIVE MESSAGE,74,74,-1,0,72.0,2
93,SENT to 2056,75,75,0,1,,2
94,RECEIVE MESSAGE,76,76,-1,0,74.0,2
95,RECEIVE MESSAGE,77,77,-1,0,75.0,2
96,SENT to 2056,78,78,2,0,,2
97,SENT to 4056,78,78,2,0,,2
98,SENT to 2056,79,79,0,1,,2
99,RECEIVE MESSAGE,80,80,-1,0,78.0,2
100,SENT to 2056,81,81,0,0,,2
101,SENT to 2056,82,82,2,1,,2
102,SENT to 4056,82,82,2,1,,2
103,RECEIVE MESSAGE,83,83,-1,0,81.0,2
104,SENT to 4056,84,84,1,0,,2
105,INTERNAL EVENT,85,85,3,0,,2
106,RECEIVE MESSAGE,86,86,-1,0,84.0,2
107,SENT to 4056,87,87,1,1,,2
108,RECEIVE MESSAGE,88,88,-1,0,86.0,2
109,SENT to 4056,89,89,1,0,,2
110,SENT to 2056,90,90,0,0,,2
111,SENT to 2056,91,91,2,0,,2
112,SENT to 4056,91,91,2,0,,2
113,SENT to 2056,92,92,2,0,,2
114,SENT to 4056,92,92,2,0,,2
115,SENT to 4056,93,93,1,0,,2
116,SENT to 2056,94,94,0,0,,2
117,RECEIVE MESSAGE,95,95,-1,0,93.0,2
118,SENT to 2056,96,96,2,0,,2
119,SENT to 4056,96,96,2,1,,2
120,RECEIVE MESSAGE,97,97,-1,0,95.0,2
121,SENT to 4056,98,98,1,0,,2
122,SENT to 4056,99,99,1,0,,2
123,SENT to 2056,100,100,2,0,,2
124,SENT to 4056,100,100,2,1,,2
125,SENT to 2056,100,100,2,1,,2
126,RECEIVE MESSAGE,101,101,-1,0,99.0,2
127,INTERNAL EVENT,102,102,3,0,,2
128,INTERNAL EVENT,103,103,3,0,,2
129,SENT to 2056,104,104,0,0,,2
130,SENT to 4056,105,105,2,0,,2
131,SENT to 2056,105,105,2,0,,2
132,SENT to 4056,106,106,2,0,,2
133,SENT to 2056,106,106,2,0,,2
